Property,Value
Name,"Degraded Polymer Deposits"
Category,"organic-residue"
Subcategory,"polymer"
Description,"Plastic-residue contamination, it manifests as melted, degraded, or oxidized layers from heat exposure or UV degradation, which distinguishes itself from inorganic rusts by its viscoelastic, non-brittle nature that clings irregularly. On metals such as steel and aluminum, the residue adheres tenaciously, influenced from surface porosity, while on glass it spreads thinly yet persistently, leading to challenges in removal due to its thermal sensitivity and potential for re-melting during cleaning. Laser cleaning proves effective, as the process vaporizes the residue selectively, that demonstrates preservation of the substrate integrity without mechanical abrasion."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Concrete","Compatible"
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
"Crown Glass","Compatible"
"Float Glass","Compatible"
"Borosilicate Glass","Compatible"
"Aluminosilicate Glass","Compatible"
"Fused Silica","Compatible"
"Gorilla Glass","Compatible"
"Tempered Glass","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
