Property,Value
Name,"Forging Mill Scale"
Category,"thermal-damage"
Subcategory,"scale"
Description,"Forging-scale, it consists of black oxide layer that forms during hot forging and rolling operations on steel surfaces. This contamination, it shows dense adherence and dark coloration, thus distinguishes from rust by its thermal origin and resistance to mild abrasion. On carbon steel, scale persists strongly and challenges mechanical removal, but laser cleaning effectively ablates it through precise energy absorption, so surface restores without damage."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Steel","Compatible"
"Iron","Compatible"
"Carbon Steel","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
