Category,Property,Value,Unit,Min,Max
Machine Setting,Powerrange,60,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,30,μm,0.1,500
Machine Setting,Repetitionrate,30,kHz,1,200
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,300,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Power,30,W,10,100
Machine Setting,Scan Speed,1500,mm/s,10,5000
Machine Setting,Pulse Width,10,ns,0.1,1000
Machine Setting,Repetition Rate,20,kHz,1,200
Machine Setting,Energy Density,0.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
Material Characteristics,Density,4.81,g/cm³,None,None
Material Characteristics,Porosity,0,%,None,None
Material Characteristics,Surfaceroughness,0.2,μm,None,None
Material Characteristics,Tensilestrength,41,MPa,None,None
Material Characteristics,Youngsmodulus,61,GPa,None,None
Material Characteristics,Hardness,0.8,GPa,None,None
Material Characteristics,Flexuralstrength,95,MPa,None,None
Material Characteristics,Oxidationresistance,5,μm/year,None,None
Material Characteristics,Corrosionresistance,0.65,mm/year,None,None
Material Characteristics,Compressivestrength,41,MPa,None,None
Material Characteristics,Fracturetoughness,4.5,MPa m^{1/2},None,None
Material Characteristics,Electricalresistivity,10000000.0,Ω·m,None,None
Laser-Material Interaction,Thermaldestruction,1335,K,None,None
Laser-Material Interaction,Laserabsorption,0.3,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,1.5,J/cm²,None,None
Laser-Material Interaction,Ablationthreshold,0.72,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,4.5e-05,m²/s,None,None
Laser-Material Interaction,Thermalexpansion,4.56e-06,K^{-1},None,None
Laser-Material Interaction,Specificheat,310.0,J/(kg·K),None,None
Laser-Material Interaction,Thermalconductivity,68.0,W/m·K,None,None
Laser-Material Interaction,Laserreflectivity,0.28,dimensionless,None,None
,Metric,1064,nm,None,None
