Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Quartz Glass,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: quartz glass, laser cleaning, glass, soda-lime, material properties",,,,,
# Last Modified: 2026-01-06,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,100,W,20,500
Machine Setting,Scan Speed,500,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,1.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Electricalresistivity,1e+16,Ω·m,None,None
Material Characteristics,Fracturetoughness,0.75,MPa m^{1/2},None,None
Material Characteristics,Youngsmodulus,73.0,GPa,None,None
Material Characteristics,Oxidationresistance,1473.0,K,None,None
Material Characteristics,Density,2.2,g/cm³,None,None
Material Characteristics,Hardness,6.0,GPa,None,None
Material Characteristics,Corrosionresistance,1.0,dimensionless,None,None
Material Characteristics,Compressivestrength,1100.0,MPa,None,None
Material Characteristics,Flexuralstrength,70.0,MPa,None,None
Material Characteristics,Tensilestrength,48.0,MPa,None,None
Material Characteristics,Laserdamagethreshold,20.0,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.02,dimensionless,0.01,0.05
Laser-Material Interaction,Absorptioncoefficient,10,m⁻¹,1,100
Laser-Material Interaction,Laserdamagethreshold,20,J/cm²,10,40
Laser-Material Interaction,Thermalshockresistance,2.5,MW/m,1,4
Laser-Material Interaction,Reflectivity,0.04,dimensionless,0.035,0.045
Laser-Material Interaction,Thermaldestructionpoint,2000,K,1900,2100
Laser-Material Interaction,Vaporpressure,0.01,Pa,0.001,0.1
Laser-Material Interaction,Thermaldestruction,1986.0,K,None,None
Laser-Material Interaction,Specificheat,740.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.035,fraction,None,None
Laser-Material Interaction,Thermalconductivity,1.38,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,5.5e-07,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.2,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,8.6e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,20.0,J/cm²,None,None
,Metric,1064,nm,None,None
