# Carbon Fiber Reinforced Polymer Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/composite/fiber-reinforced/carbon-fiber-reinforced-polymer-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Carbon Fiber Reinforced Polymer Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/composite/fiber-reinforced/carbon-fiber-reinforced-polymer-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Carbon Fiber Reinforced Polymer,,,,,Material name
Basic,Info,Category,composite,,,,,Material category
Basic,Info,Subcategory,fiber-reinforced,,,,,Material subcategory
Basic,Info,Slug,carbon-fiber-reinforced-polymer-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for CFRP cleaning without matrix damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for optimal carbon absorption and minimal polymer damage
Machine,Settings,spotSize,50,μm,0.1,500,,Focused spot size for precise cleaning resolution
Machine,Settings,repetitionRate,100,kHz,1,200,,High repetition rate for efficient cleaning with thermal management
Machine,Settings,energyDensity,5,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal without CFRP damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation of contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning without excessive heating
Machine,Settings,power,30,W,10,100,,"Typical range for pulsed Nd:YAG lasers in CFRP cleaning to ablate contaminants without matrix degradation; starting at 30W for light contamination. Max safe ~100W to avoid thermal damage (thermal conductivity ~1-5 W/mK, low melting point of epoxy ~150-200°C). Source: Journal of Laser Applications (2018) on composite cleaning."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective range balances cleaning efficiency and heat input; recommended 1500 mm/s for optimal CFRP surface prep. Slower (500 mm/s) for heavy contamination, faster (3000 mm/s) for light. Source: Industry manuals from IPG Photonics and Laserax equipment specs for polymer composites."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for CFRP to minimize heat-affected zone (HAZ <50 μm); picosecond (ps) or femtosecond for ultra-precise but costlier. 20 ns typical for 1064 nm ablation of surface contaminants without fiber delamination. Source: Laser physics studies in Optics and Lasers in Engineering (2020).
Machine,Settings,repetition_rate,30,kHz,1,200,,Standard for industrial cleaning; 30 kHz recommended for CFRP to achieve fast processing while limiting heat accumulation in low-conductivity matrix. Higher rates increase speed but risk overheating. Source: Academic literature in Applied Surface Science (2019) on pulsed laser cleaning of composites.
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence range for contaminant removal (e.g., oils, paints); CFRP damage threshold ~2-5 J/cm² depending on matrix. Recommended 1.5 J/cm² for safe cleaning, below ablation threshold for carbon fibers (~10 J/cm²). Conservative to account for reflectivity (~30-50% at 1064 nm). Source: Ablation threshold studies in Composites Part B (2017)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for precision vs. area coverage; 200 μm recommended for CFRP to focus energy on contaminants without wide HAZ. Smaller for fine details, larger for broad surfaces. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems for composites."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass for heavy; 2 passes recommended for complete CFRP cleaning with minimal damage risk. Multi-pass allows lower fluence per pass. Source: Industry case studies in Journal of Cleaner Production (2021) on laser surface preparation of polymers."
Machine,Settings,overlap_ratio,60,%,10,90,,Ensures uniform coverage without excessive overlap heating; 60% recommended for CFRP to achieve even cleaning while controlling thermal load. Typical 30-80% in optimization. Source: Process studies in International Journal of Advanced Manufacturing Technology (2022).
