# Dolomite Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/stone/sedimentary/dolomite-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Dolomite Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/stone/sedimentary/dolomite-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Dolomite,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,dolomite-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,90,W,1,120,,Optimal power for stone surface restoration
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for stone cleaning
Machine,Settings,spotSize,80,μm,0.1,500,,Moderate spot for effective treatment
Machine,Settings,repetitionRate,40,kHz,1,200,,Balanced frequency for stone cleaning
Machine,Settings,energyDensity,2.2,J/cm²,0.1,20,,Energy for contamination removal
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Controlled pulses for minimal damage
Machine,Settings,scanSpeed,400,mm/s,10,5000,,Steady scanning for uniform cleaning
Machine,Settings,passCount,2,passes,1,10,,Multiple passes for thorough treatment
Machine,Settings,overlapRatio,50,%,10,90,,Standard overlap for consistent results
Machine,Settings,power,150,W,50,500,,"Typical range for industrial cleaning of carbonate stones like dolomite to remove contaminants without thermal damage; start at 150W for controlled ablation. Max safe ~300-500W depending on fluence. Based on manufacturer specs from IPG Photonics and Coherent for 1064 nm systems used in heritage stone cleaning (e.g., avoids decomposition above 900°C)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds for 1064 nm cleaning of dolomite; slower for heavy contamination (500-1000 mm/s), faster for light (2000-5000 mm/s). Recommended 1500 mm/s for optimal contaminant removal with minimal passes. From industry standards in laser cleaning manuals (e.g., Adapt Laser Systems) and studies on stone surface preparation."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred for cost-effective cleaning of dolomite; picosecond (ps) or femtosecond for ultra-minimal HAZ but less common industrially. 20 ns recommended to limit heat diffusion in low-conductivity dolomite. Supported by laser physics research in Optics & Lasers in Engineering (e.g., ns pulses reduce thermal effects in carbonates)."
Machine,Settings,repetition_rate,50,kHz,1,200,,Typical for 1064 nm cleaning to balance speed and heat; higher rates (50-100 kHz) enable faster processing but risk accumulation in low-thermal-conductivity dolomite. 50 kHz recommended for safe operation. From academic literature like Journal of Applied Physics on pulse train effects in stone ablation.
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence range for contaminant removal on dolomite; damage threshold ~2-4 J/cm² (avoids carbonate decomposition). 1.5 J/cm² recommended for safe cleaning. Based on ablation threshold studies in Applied Surface Science (e.g., 1064 nm on calcite/dolomite analogs, conservative due to reflectivity ~0.2-0.3 at IR)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter for precise vs. broad cleaning; smaller for fine details on dolomite surfaces (100-200 μm), larger for areas (300-500 μm). 200 μm recommended for uniform preparation. From equipment specs in Laserax and SPI Lasers systems for industrial stone applications."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for heavy; 2 passes recommended for complete removal on dolomite without over-ablation. Drawn from industry case studies in heritage conservation (e.g., ICSC World Heritage reports on laser cleaning of carbonate stones)."
Machine,Settings,overlap_ratio,60,%,10,90,,"Ensures uniform coverage; 30-50% for speed, 60-80% for thoroughness on irregular dolomite surfaces. 60% recommended to prevent gaps in cleaning. From process optimization studies in Lasers in Engineering journal for scanned beam cleaning of minerals."
