# Thermoplastic Elastomer Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/composite/structural/thermoplastic-elastomer-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Thermoplastic Elastomer Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/composite/structural/thermoplastic-elastomer-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Thermoplastic Elastomer,,,,,Material name
Basic,Info,Category,composite,,,,,Material category
Basic,Info,Subcategory,structural,,,,,Material subcategory
Basic,Info,Slug,thermoplastic-elastomer-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Thermoplastic Elastomer surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Thermoplastic Elastomer absorption and minimal substrate damage
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for precise cleaning control on Thermoplastic Elastomer surfaces
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning with thermal management
Machine,Settings,energyDensity,1.2,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal without damaging Thermoplastic Elastomer substrate
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation of surface contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,2,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning without excessive thermal buildup
Machine,Settings,dwellTime,100,μs,0.2,200,,Optimal dwell time per spot for effective cleaning
Machine,Settings,power,30,W,10,100,,"Typical range for polymer cleaning to avoid thermal damage; starting at 30W for light contamination on TPE, max below melting threshold (~150-200°C); based on IPG Photonics specs for YLR series lasers and studies in Optics and Lasers in Engineering (2018)."
Machine,Settings,scan_speed,2000,mm/s,10,5000,,Higher speeds minimize heat accumulation on heat-sensitive TPE; 2000 mm/s optimal for effective contaminant removal without substrate melting; ranges adjust for light (faster) vs heavy contamination; from industry manuals like those from Laserax and Applied Optics journal (2020).
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred over ps/fs for cost-effective cleaning of polymers; 20 ns minimizes HAZ by rapid energy delivery before conduction; TPE's low thermal conductivity (~0.2 W/mK) benefits short pulses; cited in Laser & Photonics Reviews (2019) on polymer ablation.
Machine,Settings,repetition_rate,50,kHz,1,200,,Balanced rate for TPE to enable fast cleaning while limiting heat buildup; higher rates increase speed but risk accumulation on low-melting TPE; trade-off noted in academic literature like Journal of Applied Physics (2021).
Machine,Settings,energy_density,0.5,J/cm²,0.1,20,,Fluence below TPE damage threshold (~1-2 J/cm² at 1064 nm due to moderate absorption); 0.5 J/cm² safe for contaminant removal; conservative for reflectivity (~0.9) and low melting point; from ablation threshold studies in Applied Surface Science (2017).
Machine,Settings,spot_size,200,μm,0.1,500,,"200 μm recommended for uniform cleaning on TPE surfaces; smaller for fine details, larger for broad areas; suits industrial prep without focusing heat; per equipment specs from Coherent Inc. and process guidelines in Industrial Laser Solutions (2022)."
Machine,Settings,pass_count,2,passes,1,10,,Multi-pass for heavy contamination on TPE to stay under thermal limits; 2 passes typical for complete removal without damage; single pass for light soils; based on case studies in Journal of Cleaner Production (2020) for polymer surface prep.
Machine,Settings,overlap_ratio,60,%,10,90,,60% ensures uniform coverage on irregular TPE surfaces; higher for heavy contamination to avoid gaps; standard range optimizes energy distribution; from process optimization in Lasers in Manufacturing and Materials Processing (2019).
