Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Titanium Carbide,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: titanium carbide, laser cleaning, ceramic, carbide, material properties",,,,,
# Last Modified: 2026-01-10,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,2000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Laserpower,150,W,1.0,180
Machine Setting,Laserpoweralternative,100,W,50,300
Machine Setting,Frequency,50,kHz,1,200
Material Characteristics,Youngsmodulus,440.0,GPa,None,None
Material Characteristics,Oxidationresistance,1073.0,K,None,None
Material Characteristics,Density,4.93,g/cm³,None,None
Material Characteristics,Hardness,29.4,GPa,None,None
Material Characteristics,Corrosionresistance,0.95,,None,None
Material Characteristics,Compressivestrength,4000.0,MPa,None,None
Material Characteristics,Flexuralstrength,400.0,MPa,None,None
Material Characteristics,Tensilestrength,345.0,MPa,None,None
Material Characteristics,Fracturetoughness,3.8,MPa√m,None,None
Material Characteristics,Porosity,0.0,%,None,None
Material Characteristics,Electricalresistivity,6.8e-07,Ω·m,None,None
Material Characteristics,Laserdamagethreshold,3.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.7,dimensionless,0.5,0.9
Laser-Material Interaction,Absorptioncoefficient,5000000.0,m⁻¹,1000000.0,10000000.0
Laser-Material Interaction,Laserdamagethreshold,3.5,J/cm²,1.0,5.0
Laser-Material Interaction,Thermalshockresistance,2.5,MW/m,1.5,3.5
Laser-Material Interaction,Reflectivity,0.3,dimensionless,0.1,0.5
Laser-Material Interaction,Thermaldestructionpoint,3340,K,3200,3500
Laser-Material Interaction,Vaporpressure,1.0,Pa,0.1,10.0
Laser-Material Interaction,Thermaldestruction,3340.0,K,None,None
Laser-Material Interaction,Specificheat,569.0,J/kg·K,None,None
Laser-Material Interaction,Laserreflectivity,0.35,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,21.0,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,7.92e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.7,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,1.33e-05,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,12000.0,J/m²,None,None
,Metric,1064,nm,None,None
