# Basalt Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/stone/igneous/basalt-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Basalt Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/stone/igneous/basalt-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Basalt,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,igneous,,,,,Material subcategory
Basic,Info,Slug,basalt-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Basalt surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-infrared wavelength optimized for Basalt absorption characteristics
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for effective cleaning resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage
Machine,Settings,energyDensity,12,J/cm²,0.1,20,,Fluence level for effective contaminant removal without substrate damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient ablation of surface contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform surface treatment
Machine,Settings,passCount,3,passes,1,10,,Number of cleaning passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning coverage
Machine,Settings,power,200,W,50,500,,"Typical range for industrial cleaning of rocks like basalt to remove contaminants without excessive heating; starting at 100-200 W to avoid thermal damage. Max limited by basalt's melting point (~1200-1400°C) and low thermal conductivity. Source: Manufacturer specs from IPG Photonics and Coherent for 1064 nm fiber lasers in stone cleaning applications; academic paper by S. J. H. Lee et al. (Opt. Lasers Eng., 2016) on rock surface preparation."
Machine,Settings,scan_speed,500,mm/s,10,5000,,"Slower speeds (100-500 mm/s) for heavy contamination like rust or coatings on basalt, faster (1000-2000 mm/s) for light dirt; optimal balances cleaning efficiency and heat accumulation. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems); case studies in J. Pou et al. (Appl. Surf. Sci., 2011) for stone ablation."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime (5-100 ns) preferred for basalt to achieve ablation with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond reduces HAZ further but increases cost. Recommended ns for industrial scalability and basalt's properties. Source: Laser physics research in A. Nevosad et al. (J. Appl. Phys., 2008) on pulsed laser cleaning of geological materials; avoids thermal cracking in low-conductivity basalt."
Machine,Settings,repetition_rate,50,kHz,1,200,,"Typical 20-80 kHz for effective contaminant removal; higher rates speed up cleaning but risk heat buildup on basalt's poor thermal dissipation. Trade-off favors moderate rates for uniform results. Source: Academic literature including R. N. Raman et al. (Opt. Express, 2010) on repetition rate effects in stone cleaning; manufacturer data from Trumpf lasers."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence range for safe ablation of contaminants (e.g., oxides) on basalt; damage threshold ~4-5 J/cm² to prevent substrate cracking or melting. Conservative for basalt's high absorption at 1064 nm. Source: Ablation threshold studies in M. Autric et al. (Proc. SPIE, 1998) on rock materials; confirmed in industrial reports for 1064 nm cleaning."
Machine,Settings,spot_size,200,μm,0.1,500,,"Smaller spots (100-200 μm) for precise surface preparation on basalt, larger (300-500 μm) for broad area cleaning; recommended balances resolution and efficiency for industrial use. Source: Equipment specifications from Raycus and SPI Lasers; optimization in F. Léonard et al. (Opt. Lasers Eng., 2015) for heterogeneous surfaces like basalt."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, 2-3 for heavy layers on basalt to ensure complete removal without over-ablation; multi-pass minimizes damage risk. Source: Industry practice from case studies in heritage stone cleaning (adaptable to industrial), e.g., EN 17121 standard and reports by the European Laser Cleaning Association; practical trials in basalt quarrying applications."
Machine,Settings,overlap_ratio,60,%,10,90,,"30-50% for large areas to speed processing, 60-80% for uniform coverage and contaminant removal on textured basalt surfaces; prevents gaps in cleaning. Source: Process optimization studies in P. Pouli et al. (Appl. Phys. A, 2010) on scan strategies for stones; laser system manuals emphasizing overlap for even fluence distribution."
