Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Germanium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: germanium, laser cleaning, semiconductor, elemental, material properties",,,,,
# Last Modified: 2025-12-27,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,60,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,30,μm,0.1,500
Machine Setting,Repetitionrate,30,kHz,1,200
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,300,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Power,50,W,10,100
Machine Setting,Scan Speed,1000,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,20,kHz,1,200
Machine Setting,Energy Density,0.8,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,60,%,10,90
Material Characteristics,Density,5.323,g/cm³,None,None
Material Characteristics,Porosity,0,%,None,None
Material Characteristics,Surfaceroughness,0.3,μm,None,None
Material Characteristics,Tensilestrength,52,MPa,None,None
Material Characteristics,Youngsmodulus,103,GPa,None,None
Material Characteristics,Hardness,1.2,GPa,None,None
Material Characteristics,Flexuralstrength,130,MPa,None,None
Material Characteristics,Oxidationresistance,8,μm/year,None,None
Material Characteristics,Corrosionresistance,0.6,mm/year,None,None
Material Characteristics,Compressivestrength,52,MPa,None,None
Material Characteristics,Fracturetoughness,6,MPa m^{1/2},None,None
Material Characteristics,Electricalresistivity,0.46,Ω·m,None,None
Laser-Material Interaction,Thermaldestruction,1211,K,None,None
Laser-Material Interaction,Laserabsorption,0.55,dimensionless,None,None
Laser-Material Interaction,Laserdamagethreshold,10.2,J/cm²,None,None
Laser-Material Interaction,Ablationthreshold,0.42,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,3.6e-05,m²/s,None,None
Laser-Material Interaction,Thermalexpansion,5.9e-06,K^{-1},None,None
Laser-Material Interaction,Specificheat,322.0,J/(kg·K),None,None
Laser-Material Interaction,Thermalconductivity,60.2,W/m·K,None,None
Laser-Material Interaction,Laserreflectivity,0.36,fraction,None,None
,Metric,1064,nm,None,None
