Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Silicon Nitride,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: silicon nitride, laser cleaning, ceramic, oxide, material properties",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,5.1,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Power,100,W,20,500
Machine Setting,Scan Speed,2000,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,0.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Crystallinestructure,cubic,crystal system,None,None
Material Characteristics,Electricalresistivity,100000000000000.0,Ω·m,None,None
Material Characteristics,Fracturetoughness,6.0,MPa√m,None,None
Material Characteristics,Youngsmodulus,310.0,GPa,None,None
Material Characteristics,Oxidationresistance,1400.0,°C,None,None
Material Characteristics,Density,3.2,g/cm³,None,None
Material Characteristics,Hardness,15.0,GPa,None,None
Material Characteristics,Corrosionresistance,0.95,dimensionless,None,None
Material Characteristics,Compressivestrength,3100.0,MPa,None,None
Material Characteristics,Flexuralstrength,900.0,MPa,None,None
Material Characteristics,Tensilestrength,310.0,MPa,None,None
Material Characteristics,Porosity,0.3,%,None,None
Material Characteristics,Laserdamagethreshold,12.5,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.1,dimensionless,0.05,0.3
Laser-Material Interaction,Absorptioncoefficient,50000,m⁻¹,10000,1000000
Laser-Material Interaction,Laserdamagethreshold,10,J/cm²,5,20
Laser-Material Interaction,Thermalshockresistance,2.5,MW/m,1.5,3.5
Laser-Material Interaction,Reflectivity,0.3,dimensionless,0.2,0.4
Laser-Material Interaction,Thermaldestructionpoint,1900,K,1500,2200
Laser-Material Interaction,Vaporpressure,0.01,Pa,0.001,1
Laser-Material Interaction,Thermaldestruction,2173.0,K,None,None
Laser-Material Interaction,Specificheat,700.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.11,,None,None
Laser-Material Interaction,Thermalconductivity,30.0,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,3.2e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,1200.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,1.2e-05,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.8,J/cm²,None,None
,Metric,1064,nm,None,None
