# Silicon Germanium Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/semiconductor/elemental/silicon-germanium-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Silicon Germanium Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/semiconductor/elemental/silicon-germanium-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Silicon Germanium,,,,,Material name
Basic,Info,Category,semiconductor,,,,,Material category
Basic,Info,Subcategory,elemental,,,,,Material subcategory
Basic,Info,Slug,silicon-germanium-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,45,W,1,120,,Optimal average power for SiGe surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for optimal SiGe absorption and minimal substrate damage
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise cleaning resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning with thermal management
Machine,Settings,fluenceThreshold,1.2,J/cm²,0.3,4.5,,Fluence threshold for effective contaminant removal on SiGe
Machine,Settings,pulseWidth,15,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation of contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning without excessive thermal buildup
Machine,Settings,power,100,W,20,500,,"Typical range for semiconductor cleaning to avoid thermal damage; starting at 100W for light contamination on SiGe, max below damage threshold (~500W with short pulses). Source: IPG Photonics specs for Yb-fiber lasers at 1064 nm; studies on Si ablation (similar to SiGe) in Opt. Lasers Eng. (2018)."
Machine,Settings,scan_speed,500,mm/s,10,5000,,"Effective for contamination removal; slower (100-500 mm/s) for heavy contaminants, faster (1000-2000 mm/s) for light; 500 mm/s optimal for SiGe to balance efficiency and heat control. Source: Industry standards from Laser Cleaning Handbook (SPIE, 2020); equipment manuals for scanning galvo systems."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for cost-effective cleaning with minimal HAZ on SiGe; picosecond (ps) for ultra-precision but less common industrially. 20 ns recommended to limit thermal diffusion given SiGe's moderate thermal conductivity (~50 W/mK). Source: Laser physics research in Appl. Phys. A (2019) on pulsed laser ablation of Ge alloys.
Machine,Settings,repetition_rate,20,kHz,1,200,,"Typical for industrial cleaning; 20 kHz balances speed and heat accumulation on reflective SiGe surfaces (absorptivity ~0.4 at 1064 nm); higher rates risk buildup, lower for heavy cleaning. Source: Academic literature in J. Phys. D: Appl. Phys. (2021) on pulse train effects in semiconductor processing."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence below SiGe damage threshold (~2-4 J/cm² at 1064 nm, similar to Si); 1.5 J/cm² safe for contaminant removal without melting (SiGe mp ~1200-1400°C). Source: Ablation threshold studies in Surf. Coat. Technol. (2017) for Si1-xGex alloys."
Machine,Settings,spot_size,200,μm,0.1,500,,"Smaller for fine surface prep on SiGe wafers (50-200 μm), larger for broad areas; 200 μm recommended for uniform cleaning without excessive overlap heating. Source: Equipment specifications from Coherent and Trumpf laser systems for micro-cleaning applications."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for heavy; 2 passes typical for SiGe to ensure complete removal while minimizing cumulative damage. Source: Industry case studies in Proc. SPIE (2022) on laser cleaning of semiconductor substrates."
Machine,Settings,overlap_ratio,50,%,10,90,,Ensures uniform coverage; 50% optimal for SiGe to avoid gaps or hot spots given beam divergence at 1064 nm. Source: Process optimization studies in Opt. Express (2020) for scanned laser cleaning of alloys.
