# Metal Matrix Composites MMCs Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/composite/fiber-reinforced/metal-matrix-composites-mmcs-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Metal Matrix Composites MMCs Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/composite/fiber-reinforced/metal-matrix-composites-mmcs-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Metal Matrix Composites MMCs,,,,,Material name
Basic,Info,Category,composite,,,,,Material category
Basic,Info,Subcategory,fiber-reinforced,,,,,Material subcategory
Basic,Info,Slug,metal-matrix-composites-mmcs-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for MMCs cleaning considering thermal conductivity and matrix integrity
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength providing good absorption in metallic matrix while minimizing damage to ceramic reinforcements
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter balancing cleaning efficiency and spatial resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,High repetition rate for efficient cleaning while maintaining thermal management
Machine,Settings,energyDensity,5,J/cm²,0.1,20,,Fluence level sufficient for contaminant removal without damaging MMC substrate
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation without excessive thermal diffusion
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,3,passes,1,10,,Number of cleaning passes for thorough contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Beam overlap percentage ensuring complete coverage without excessive energy deposition
Machine,Settings,dwellTime,100,μs,0.2,200,,Effective interaction time per spot location
Machine,Settings,power,100,W,50,300,,"Typical range for industrial cleaning of MMCs at 1064 nm to remove contaminants without delaminating reinforcements; starting at 100 W for light contamination, max below 300 W to avoid substrate damage due to thermal sensitivity of composite interfaces (source: studies in Journal of Laser Applications, e.g., on Al/SiC MMCs)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds for contamination removal on MMCs; higher for light oils/dusts (2000-3000 mm/s), lower for heavy oxides (500-1000 mm/s) to ensure ablation without excessive heat buildup; recommended 1500 mm/s for balanced efficiency (source: IPG Photonics laser cleaning manuals and industry standards for metallic composites)."
Machine,Settings,pulse_width,30,ns,0.1,1000,,Nanosecond regime preferred for MMCs at 1064 nm to achieve effective cleaning with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond for ultra-precision but costlier; 30 ns recommended to limit thermal diffusion in high-conductivity matrices like Al-based MMCs (source: laser physics research in Optics Express on pulsed ablation of composites).
Machine,Settings,repetition_rate,50,kHz,1,200,,"Typical for pulsed cleaning applications; 50 kHz balances speed and heat management for MMCs, as higher rates (>80 kHz) risk accumulation in lower-conductivity reinforcements like SiC, while lower aids heavy contamination (source: academic literature in Applied Surface Science on fiber laser cleaning of MMCs)."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence range for safe contaminant ablation on MMCs; damage threshold ~2-4 J/cm² for matrices like Ti or Al with ceramic particles, lower to prevent cracking; 1.5 J/cm² recommended for effective cleaning without exceeding ablation thresholds (source: ablation threshold studies in Journal of Materials Processing Technology)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for cleaning; smaller for fine surface prep on MMCs (100-200 μm), larger for broad areas (300-500 μm); 200 μm recommended to focus energy on contaminants while minimizing exposure to heterogeneous MMC structure (source: equipment specs from Coherent and Trumpf laser systems for composites)."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-4) for heavy layers to avoid thermal damage in MMCs; 2 passes recommended for uniform removal and surface preparation without risking delamination (source: industry case studies in Laser Cleaning Handbook and practical applications on aerospace MMCs)."
Machine,Settings,overlap_ratio,60,%,10,90,,Ensures uniform coverage in scan patterns; 60% typical for MMCs to prevent gaps in cleaning while avoiding overexposure that could heat sensitive interfaces; range adjusted for contamination density (source: process optimization studies in International Journal of Advanced Manufacturing Technology).
