# Silicon Nitride Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/ceramic/oxide/silicon-nitride-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Silicon Nitride Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/ceramic/oxide/silicon-nitride-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Silicon Nitride,,,,,Material name
Basic,Info,Category,ceramic,,,,,Material category
Basic,Info,Subcategory,oxide,,,,,Material subcategory
Basic,Info,Slug,silicon-nitride-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Silicon Nitride surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Silicon Nitride absorption characteristics
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise cleaning resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning with thermal management
Machine,Settings,energyDensity,5.1,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal without substrate damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation of contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning coverage
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning pattern
Machine,Settings,dwellTime,100,μs,0.2,200,,Effective dwell time per cleaning spot
Machine,Settings,power,100,W,20,500,,"Typical range for pulsed fiber lasers in industrial cleaning of ceramics like Si3N4 to remove contaminants without thermal damage; starting at 100W for controlled ablation. Max safe ~300-500W to avoid cracking due to low thermal conductivity (~25 W/mK). Source: IPG Photonics fiber laser specs for cleaning applications; academic review in 'Laser Cleaning of Ceramics' (Optics and Lasers in Engineering, 2018)."
Machine,Settings,scan_speed,2000,mm/s,10,5000,,"Effective range for 1064 nm cleaning; slower (100-500 mm/s) for heavy contamination (e.g., oxides), faster (2000-5000 mm/s) for light surface prep. Recommended 2000 mm/s balances efficiency and safety on Si3N4's brittle surface. Source: Industry standards from Laserax equipment manuals; case studies in Journal of Laser Applications (2020)."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred for Si3N4 cleaning to minimize heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) for ultra-precision but costlier. 20 ns typical for contaminant removal without substrate melting (Si3N4 mp ~1900°C). Avoid fs for industrial scale. Source: Laser physics in 'Pulsed Laser Cleaning of Ceramics' (Applied Surface Science, 2019)."
Machine,Settings,repetition_rate,50,kHz,1,200,,Typical 20-100 kHz for cleaning; 50 kHz recommended for Si3N4 to achieve fast coverage while limiting heat accumulation (trade-off: higher rates speed up process but risk thermal buildup on low-conductivity material). Source: Academic literature in Optics Express (2017) on pulse train effects in ceramic ablation.
Machine,Settings,energy_density,0.5,J/cm²,0.1,20,,Fluence range for safe contaminant removal; damage threshold for Si3N4 ~3-5 J/cm² at 1064 nm due to moderate reflectivity (~35%). Recommended 0.5 J/cm² for cleaning without ablation of substrate. Conservative for light contamination. Source: Ablation threshold studies in Journal of Applied Physics (2016); uncertainty noted for specific contaminants.
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range: smaller (50-200 μm) for fine detail on Si3N4 components, larger (500-1000 μm) for broad area prep. 200 μm recommended for uniform cleaning balancing resolution and speed. Source: Equipment specs from Coherent and Trumpf laser systems for industrial cleaning."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-3) for heavy layers on Si3N4 to ensure complete removal without excessive energy input. Recommended 2 passes for industrial surface prep. Source: Industry case studies in 'Laser Surface Treatment of Ceramics' (Materials Science and Engineering A, 2021)."
Machine,Settings,overlap_ratio,50,%,10,90,,Typical 30-80% for uniform coverage; 50% recommended for Si3N4 to avoid uneven heating or missed spots while preventing overexposure on heat-sensitive ceramic. Higher overlap for heavy contamination. Source: Process optimization in Laser & Photonics Reviews (2019).
