Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Cherry,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: cherry, laser cleaning, wood, hardwood, material properties",,,,,
# Last Modified: 2026-01-14,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Dwelltime,100,μs,0.2,200
Machine Setting,Laserpower,90,W,1.0,120
Machine Setting,Laserpoweralternative,50,W,20,200
Machine Setting,Frequency,30,kHz,1,200
,Crystallinestructure,amorphous,crystal system,None,None
Material Characteristics,Fracturetoughness,0.38,MPa m^{1/2},None,None
Material Characteristics,Density,580.0,kg/m³,None,None
Material Characteristics,Oxidationresistance,0.72,"dimensionless (relative scale 0-1, 1=excellent resistance)",None,None
Material Characteristics,Youngsmodulus,10.27,GPa,None,None
Material Characteristics,Hardness,4226.0,N,None,None
Material Characteristics,Compressivestrength,40.3,MPa,None,None
Material Characteristics,Tensilestrength,70.3,MPa,None,None
Material Characteristics,Flexuralstrength,67.8,MPa,None,None
Material Characteristics,Corrosionresistance,0.35,dimensionless (relative durability index),None,None
Material Characteristics,Porosity,0.667,fraction,None,None
Material Characteristics,Laserdamagethreshold,2.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,Absorptioncoefficient,500000,m⁻¹,10000,1000000
Laser-Material Interaction,Laserdamagethreshold,2.5,J/cm²,0.5,10
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.5,3
Laser-Material Interaction,Reflectivity,0.15,dimensionless,0.05,0.3
Laser-Material Interaction,Thermaldestructionpoint,500,K,450,600
Laser-Material Interaction,Vaporpressure,50,Pa,1,1000
Laser-Material Interaction,Thermaldestruction,275.0,°C,None,None
Laser-Material Interaction,Laserreflectivity,0.23,dimensionless,None,None
Laser-Material Interaction,Thermalexpansion,3.2e-05,K^{-1},None,None
Laser-Material Interaction,Thermalconductivity,0.163,W/(m·K),None,None
Laser-Material Interaction,Specificheat,1380.0,J/(kg·K),None,None
Laser-Material Interaction,Laserabsorption,0.93,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,1.28e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,0.82,J/cm²,None,None
,Metric,1064,nm,None,None
