# Tungsten Carbide Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/ceramic/carbide/tungsten-carbide-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Tungsten Carbide Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/ceramic/carbide/tungsten-carbide-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Tungsten Carbide,,,,,Material name
Basic,Info,Category,ceramic,,,,,Material category
Basic,Info,Subcategory,carbide,,,,,Material subcategory
Basic,Info,Slug,tungsten-carbide-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Tungsten Carbide oxide layer removal
Machine,Settings,wavelength,1064,nm,355,10640,,Near-infrared wavelength for optimal Tungsten Carbide absorption
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise cleaning resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning without thermal damage
Machine,Settings,energyDensity,5.1,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal without substrate damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation of surface contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform surface treatment
Machine,Settings,passCount,3,passes,1,10,,Number of cleaning passes for thorough contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for complete surface coverage
Machine,Settings,power,150,W,50,500,,Typical range for industrial cleaning of hard materials like Tungsten Carbide to remove contaminants without ablation; starting at 100-200W to balance efficiency and safety. Max limited to avoid thermal damage given WC's high melting point (~2870°C) and reflectivity at 1064 nm. Source: IPG Photonics YLR series specs for cleaning applications; academic review in Optics and Lasers in Engineering (2018) on metal cleaning thresholds.
Machine,Settings,scan_speed,2000,mm/s,10,5000,,"Effective range for 1064 nm cleaning; slower speeds (500-1500 mm/s) for heavy contamination like oxides, faster (2000-5000 mm/s) for light surface prep. Recommended 2000 mm/s optimizes fluence delivery on WC's conductive surface. Source: Industry standards from Laserax equipment manuals; case studies in Journal of Cleaner Production (2020) for carbide tool cleaning."
Machine,Settings,pulse_width,50,ns,0.1,1000,,Nanosecond regime (5-200 ns) preferred for industrial cleaning of WC to ablate contaminants while minimizing heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) for ultra-precise but costlier. 50 ns balances energy deposition on reflective WC. Source: Laser physics research in Applied Surface Science (2019) on pulse duration effects for ceramics; avoids fs due to WC's thermal properties.
Machine,Settings,repetition_rate,30,kHz,1,200,,Typical 10-100 kHz for pulsed cleaning; higher rates increase speed but risk heat accumulation on WC's moderate thermal conductivity (~80 W/m·K). 30 kHz recommended for controlled overlap without overheating. Trade-off: high freq faster but monitor for substrate damage. Source: Academic literature in Lasers in Manufacturing and Materials Processing (2021); Coherent Armonia series specs.
Machine,Settings,energy_density,2,J/cm²,0.1,20,,"Fluence range below WC damage threshold (~5-10 J/cm² at 1064 nm) for contaminant removal; 0.5-2 J/cm² for light cleaning, up to 5 for heavy. Recommended 2 J/cm² ensures safe ablation of oxides without melting. Source: Ablation threshold studies in Journal of Applied Physics (2017) for Tungsten Carbide; conservative for reflectivity reducing absorption."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for cleaning; smaller (50-200 μm) for fine detail on WC tools, larger (200-500 μm) for broad surface prep. 200 μm recommended for uniform coverage on hard, reflective surfaces. Source: Equipment specifications from Adapt Laser Systems; process optimization in Surface and Coatings Technology (2022)."
Machine,Settings,pass_count,3,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for complete removal of heavy layers on WC; up to 10 for thick coatings. 3 passes recommended for industrial prep to ensure uniformity without excessive exposure. Source: Industry practice in case studies from Journal of Manufacturing Processes (2019); avoids over-processing WC's durable surface."
Machine,Settings,overlap_ratio,60,%,10,90,,Typical 30-80% for uniform scan coverage; 50-70% optimal for WC to prevent gaps in contaminant removal while minimizing heat buildup. 60% balances efficiency and even fluence distribution. Source: Process optimization studies in Optics and Laser Technology (2020); standard in scanning software like those from CleanLaser GmbH.
