# Alabaster Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/stone/sedimentary/alabaster-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Alabaster Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/stone/sedimentary/alabaster-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Alabaster,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,alabaster-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,45,W,1,120,,Optimal average power for Alabaster surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength providing good absorption in surface contaminants while minimizing bulk material damage
Machine,Settings,spotSize,80,μm,0.1,500,,Beam spot diameter providing sufficient energy density for cleaning with good resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage while avoiding thermal accumulation
Machine,Settings,fluenceThreshold,1.2,J/cm²,0.3,4.5,,Energy density threshold for effective contaminant removal without damaging Alabaster substrate
Machine,Settings,pulseWidth,15,ns,0.1,1000,,Short pulse duration for efficient contaminant removal with minimal heat diffusion
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for efficient area coverage while maintaining cleaning effectiveness
Machine,Settings,passCount,2,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap percentage for uniform cleaning coverage
Machine,Settings,power,50,W,20,150,,"Typical range for delicate stone cleaning like alabaster to avoid thermal damage; starting at 50 W for controlled ablation. Max safe ~150 W based on gypsum's low melting point (~150°C). Source: Manufacturer specs from IPG Photonics and academic studies on stone conservation (e.g., J. Cult. Herit. 2018)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Slower speeds for heavy contamination on alabaster to ensure removal without substrate heating; faster for light dirt. Recommended 1500 mm/s for balance. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., CleanLaser systems)."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for alabaster to minimize heat-affected zone (HAZ); picosecond (ps) or femtosecond for ultra-precision but less common industrially. 20 ns optimal for 1064 nm on low-conductivity materials like gypsum. Source: Laser physics research in Opt. Lasers Eng. (2015) on stone ablation.
Machine,Settings,repetition_rate,30,kHz,1,200,,"Lower rates reduce heat accumulation in thermally sensitive alabaster; higher rates speed up cleaning but risk damage. 30 kHz recommended for effective contamination removal. Trade-off: high freq increases efficiency but elevates surface temp. Source: Academic literature, Appl. Surf. Sci. (2020) on pulsed laser cleaning of minerals."
Machine,Settings,energy_density,0.8,J/cm²,0.1,20,,Fluence below alabaster's damage threshold (~2 J/cm² for gypsum) for safe cleaning; lower for light contamination. 0.8 J/cm² recommended to ablate contaminants without melting. Conservative due to alabaster's poor thermal conductivity. Source: Ablation threshold studies in J. Appl. Phys. (2017) on calcium sulfate materials.
Machine,Settings,spot_size,200,μm,0.1,500,,Smaller spots for fine detail on alabaster sculptures; larger for broad industrial surfaces. 200 μm recommended for uniform cleaning without excessive energy concentration. Source: Equipment specifications from Coherent and Trumpf laser systems for heritage cleaning.
Machine,Settings,pass_count,2,passes,1,10,,"Multi-pass for complete removal of heavy contamination on porous alabaster; single pass for light surface prep. 2 passes recommended to minimize total exposure time and heat buildup. Source: Industry practice in conservation case studies (e.g., ICLEA project reports on stone artifacts)."
Machine,Settings,overlap_ratio,60,%,10,90,,Higher overlap ensures uniform coverage on uneven alabaster surfaces; 60% balances efficiency and avoids striping. Typical range for pulsed scanning to prevent gaps in contamination removal. Source: Process optimization studies in Lasers Manuf. Mater. Process. (2019).
