# Germanium Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/semiconductor/elemental/germanium-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Germanium Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/semiconductor/elemental/germanium-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Germanium,,,,,Material name
Basic,Info,Category,semiconductor,,,,,Material category
Basic,Info,Subcategory,elemental,,,,,Material subcategory
Basic,Info,Slug,germanium-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,60,W,1,120,,Controlled power for precision semiconductor cleaning
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR for minimal lattice damage
Machine,Settings,spotSize,30,μm,0.1,500,,Small spot for high-precision cleaning
Machine,Settings,repetitionRate,30,kHz,1,200,,Moderate frequency for controlled removal
Machine,Settings,energyDensity,1.5,J/cm²,0.1,20,,Precision energy for contamination removal
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Ultra-short pulses for minimal thermal damage
Machine,Settings,scanSpeed,300,mm/s,10,5000,,Careful scanning for uniform treatment
Machine,Settings,passCount,3,passes,1,10,,Multiple passes for complete cleaning
Machine,Settings,overlapRatio,60,%,10,90,,High overlap for thorough coverage
Machine,Settings,power,50,W,10,100,,"Typical range for pulsed Nd:YAG lasers in semiconductor cleaning to avoid thermal damage; recommended starting at 50 W for balanced ablation of contaminants on Ge, which has moderate thermal conductivity (60 W/mK) and high reflectivity (~40% at 1064 nm). Source: Manufacturer specs from IPG Photonics and Coherent for industrial cleaners; academic review in 'Laser Cleaning' by Kononenko (2020)."
Machine,Settings,scan_speed,1000,mm/s,10,5000,,"Effective range for contaminant removal without excessive heat buildup; slower for heavy contamination (e.g., oxides), faster for light particles; recommended 1000 mm/s for Ge to minimize heat-affected zone given its melting point of 938°C. Source: Industry standards from Laser Institute of America guidelines and equipment manuals from Trumpf; case study in Optics Express (2018) on IR cleaning of semiconductors."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred for cost-effective cleaning with minimal HAZ on Ge; picosecond (ps) or femtosecond (fs) for ultra-precise work but less common industrially; 20 ns balances ablation efficiency and thermal confinement. Source: Laser physics research in Applied Physics A (2015) on ns/ps ablation thresholds for Ge at 1064 nm, noting reduced cracking in ns pulses."
Machine,Settings,repetition_rate,20,kHz,1,200,,"Typical for pulsed cleaning to achieve uniform energy delivery; higher rates increase speed but risk heat accumulation on low-conductivity Ge; 20 kHz recommended for optimal throughput without substrate heating. Source: Academic literature in Journal of Applied Physics (2017) on rep rate effects in IR laser cleaning of semiconductors, highlighting trade-offs for materials like Ge."
Machine,Settings,energy_density,0.8,J/cm²,0.1,20,,"Fluence below Ge's damage threshold (~2 J/cm² at 1064 nm ns pulses) for safe contaminant removal; lower for light cleaning, higher for heavy; 0.8 J/cm² recommended to ablate oxides/particles while preserving Ge surface integrity. Source: Ablation threshold studies in Physical Review B (2012) and Optics and Lasers in Engineering (2019), confirming Ge thresholds and conservative cleaning fluences."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for precise industrial cleaning; smaller for fine details on Ge wafers, larger for area prep; 200 μm recommended for uniform coverage without excessive overlap heating. Source: Equipment specifications from Coherent and Spectra-Physics galvo scanners; process studies in Applied Surface Science (2021) for IR cleaning of Ge optics."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass for complete removal of stubborn layers; 2 passes recommended for Ge to ensure thorough cleaning without risking cumulative thermal damage. Source: Industry practice from SPIE proceedings on laser surface preparation (2016) and case studies in semiconductor manufacturing, emphasizing multi-pass for IR-sensitive materials."
Machine,Settings,overlap_ratio,60,%,10,90,,"Ensures uniform coverage in raster scanning; 30-50% for large areas, 70-80% for precision; 60% recommended for Ge to avoid gaps or hot spots given its reflectivity and moderate conductivity. Source: Process optimization studies in Lasers in Manufacturing (2018) and Journal of Laser Applications (2020), optimizing overlap for consistent fluence in cleaning semiconductors."
Property,material_characteristics,density,5.323,g/cm³,,,,Material property: density
Property,material_characteristics,porosity,0,%,,,,Material property: porosity
