Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Praseodymium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: praseodymium, laser cleaning, rare-earth, lanthanide, material properties",,,,,
# Last Modified: 2026-01-10,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,100,μm,0.1,500
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Energydensity,1.0,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,1500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Dwelltime,120,μs,0.2,200
Machine Setting,Laserpower,90,W,1.0,120
Machine Setting,Laserpoweralternative,50,W,20,200
Machine Setting,Frequency,30,kHz,1,200
,Crystallinestructure,HCP,crystal system,None,None
Material Characteristics,Youngsmodulus,37.3,GPa,None,None
Material Characteristics,Oxidationresistance,1.16,dimensionless,None,None
Material Characteristics,Density,6.773,g/cm³,None,None
Material Characteristics,Hardness,26.0,HV,None,None
Material Characteristics,Absorptivity,0.32,,None,None
Material Characteristics,Boilingpoint,3512.0,K,None,None
Laser-Material Interaction,Absorptivity,0.72,dimensionless,None,None
Laser-Material Interaction,Thermaldestruction,1204.0,K,None,None
Laser-Material Interaction,Specificheat,195.2,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.72,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,17.0,W/(m·K),None,None
Laser-Material Interaction,Thermalexpansion,11.3,10^{-6} K^{-1},None,None
Laser-Material Interaction,Ablationthreshold,2.85,J/cm²,None,None
Laser-Material Interaction,Absorptioncoefficient,63000000.0,m^{-1},None,None
Laser-Material Interaction,Laserdamagethreshold,1.85,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,1.308e-05,m^2/s,None,None
,Metric,1064,nm,None,None
