Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Silicon Carbide (SiC),,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: silicon carbide (sic), laser cleaning, ceramic, carbide, material properties",,,,,
# Last Modified: 2026-01-10,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Fluencethreshold,2.5,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,2000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,60,%,10,90
Machine Setting,Energydensity,2,J/cm²,0.1,20.0
Machine Setting,Laserpower,100,W,1.0,120
Machine Setting,Laserpoweralternative,300,W,50,2000
Machine Setting,Frequency,50,kHz,1,200
,Crystallinestructure,cubic,crystal system,None,None
Material Characteristics,Electricalresistivity,0.0003,Ω·m,None,None
Material Characteristics,Fracturetoughness,4.6,MPa√m,None,None
Material Characteristics,Youngsmodulus,450.0,GPa,None,None
Material Characteristics,Oxidationresistance,1600.0,°C,None,None
Material Characteristics,Density,3.21,g/cm³,None,None
Material Characteristics,Hardness,27.5,GPa,None,None
Material Characteristics,Corrosionresistance,1000000.0,Ω·cm²,None,None
Material Characteristics,Compressivestrength,3900.0,MPa,None,None
Material Characteristics,Flexuralstrength,450.0,MPa,None,None
Material Characteristics,Tensilestrength,414.0,MPa,None,None
Laser-Material Interaction,Porosity,0.005,dimensionless,0.0,0.05
Laser-Material Interaction,Ablationthreshold,3.0,J/cm²,2.0,5.0
Laser-Material Interaction,Thermaldestruction,3103.0,K,None,None
Laser-Material Interaction,Specificheat,671.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.204,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,370.0,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,4e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.8,dimensionless,None,None
Laser-Material Interaction,Thermaldiffusivity,0.00012,m^2/s,None,None
Laser-Material Interaction,Laserdamagethreshold,25.3,J/cm²,None,None
,Metric,1064,nm,None,None
