Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Europium,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: europium, laser cleaning, rare-earth, lanthanide, material properties",,,,,
# Last Modified: 2026-01-14,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,532,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Fluencethreshold,1.2,J/cm²,0.3,4.5
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,1000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,70,%,10,90
Machine Setting,Energydensity,1.0,J/cm²,0.1,20.0
Machine Setting,Laserpower,45,W,1.0,120
Machine Setting,Laserpoweralternative,30,W,10,100
Machine Setting,Frequency,20,kHz,1,200
,Crystallinestructure,HCP,crystal system,None,None
Material Characteristics,Density,5.264,g/cm³,None,None
Material Characteristics,Oxidationresistance,-2.41,V,None,None
Material Characteristics,Youngsmodulus,18.0,GPa,None,None
Material Characteristics,Hardness,0.22,GPa,None,None
Material Characteristics,Boilingpoint,1802.0,K,None,None
Material Characteristics,Absorptivity,0.28,,None,None
Laser-Material Interaction,Absorptivity,0.72,dimensionless,None,None
Laser-Material Interaction,Thermaldestruction,1099.0,K,None,None
Laser-Material Interaction,Laserreflectivity,0.43,dimensionless (fraction),None,None
Laser-Material Interaction,Thermalexpansion,3.52e-05,K^{-1},None,None
Laser-Material Interaction,Thermalconductivity,13.9,W/m·K,None,None
Laser-Material Interaction,Specificheat,145.0,J/(kg·K),None,None
Laser-Material Interaction,Ablationthreshold,2.1,J/cm²,None,None
Laser-Material Interaction,Absorptioncoefficient,420000.0,cm^{-1},None,None
Laser-Material Interaction,Laserdamagethreshold,2.3,J/cm²,None,None
Laser-Material Interaction,Thermaldiffusivity,1.465e-05,m²/s,None,None
,Metric,1064,nm,None,None
