# Rhodium Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/metal/non-ferrous/rhodium-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Rhodium Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/metal/non-ferrous/rhodium-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Rhodium,,,,,Material name
Basic,Info,Category,metal,,,,,Material category
Basic,Info,Subcategory,non-ferrous,,,,,Material subcategory
Basic,Info,Slug,rhodium-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,45,W,1,120,,Optimal average power for Rhodium surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Rhodium's moderate reflectivity and thermal absorption
Machine,Settings,spotSize,80,μm,0.1,500,,Optimal beam diameter for precision cleaning resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,High repetition rate for efficient cleaning coverage
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Minimum fluence required for effective contaminant removal
Machine,Settings,pulseWidth,15,ns,0.1,1000,,Nanosecond pulse duration for controlled ablation of contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Scanning speed for efficient area coverage
Machine,Settings,passCount,2,passes,1,10,,Number of cleaning passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning results
Machine,Settings,power,150,W,50,500,,"Typical range for industrial Nd:YAG laser cleaners on reflective metals like Rhodium to balance efficiency and avoid thermal damage; recommended starting at 150W for contamination removal. Rhodium's high reflectivity (~65% at 1064 nm) requires higher power than less reflective substrates. Source: IPG Photonics YLR series specs and studies on PGM cleaning (e.g., Opt. Lasers Eng. 2018)."
Machine,Settings,scan_speed,2000,mm/s,10,5000,,"Effective speeds for 1064 nm cleaning of metals; slower for heavy contamination (500-1000 mm/s), faster for light (3000-5000 mm/s). Recommended 2000 mm/s for Rhodium to ensure contaminant removal without substrate heating, considering its thermal conductivity (150 W/m·K). Source: Industry standards from Laserax equipment manuals and process optimization in Surf. Coat. Technol. 2020."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for cost-effective cleaning of Rhodium; picosecond (ps) or femtosecond for ultra-minimal HAZ but less common industrially. 20 ns recommended to minimize heat-affected zone on high-melting-point Rhodium (1964°C). Avoid fs for industrial scale due to complexity. Source: Laser physics research in Appl. Phys. A 2019 on metal ablation thresholds.
Machine,Settings,repetition_rate,50,kHz,1,200,,"Typical for pulsed cleaning to achieve high throughput; higher rates (50-100 kHz) speed up process but risk heat accumulation on reflective Rhodium. 50 kHz balances speed and safety. Trade-off: low freq reduces overlap heating. Source: Academic literature on Nd:YAG cleaning (e.g., J. Laser Appl. 2021)."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,Fluence below Rhodium's ablation threshold (~4-6 J/cm² at 1064 nm due to high reflectivity) for safe contaminant removal. Recommended 1.5 J/cm² for light industrial cleaning; higher for heavy contamination risks damage. Conservative estimate based on similar PGMs. Source: Ablation threshold studies in Opt. Express 2017 and Appl. Surf. Sci. 2022.
Machine,Settings,spot_size,200,μm,0.1,500,,Smaller spots (50-200 μm) for fine surface preparation on Rhodium; larger (200-500 μm) for broad areas. 200 μm recommended for uniform cleaning without excessive overlap heating. Suited to Rhodium's use in plating/electronics. Source: Equipment specs from Coherent and Trumpf industrial lasers.
Machine,Settings,pass_count,2,passes,1,10,,Single pass for light contamination; multi-pass (2-5) for heavy or uneven layers on Rhodium. Recommended 2 passes for complete removal while preserving substrate integrity. Based on industrial practice for precious metals. Source: Case studies in Ind. Laser Sol. 2019 and process reports from Adapt Laser Systems.
Machine,Settings,overlap_ratio,60,%,10,90,,"Ensures uniform coverage without gaps or excessive energy input; 60% recommended for Rhodium to account for beam divergence and reflectivity, preventing uneven cleaning. Typical range from process optimization. Source: Studies in Laser Ablation and Surf. Eng. (Proc. SPIE 2020)."
