# Stucco Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/masonry/concrete/stucco-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Stucco Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/masonry/concrete/stucco-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Stucco,,,,,Material name
Basic,Info,Category,masonry,,,,,Material category
Basic,Info,Subcategory,concrete,,,,,Material subcategory
Basic,Info,Slug,stucco-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Stucco surface cleaning without substrate damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-infrared wavelength optimized for Stucco absorption and minimal substrate interaction
Machine,Settings,spotSize,0.2,mm,0.1,500,,Beam spot diameter for balanced cleaning efficiency and resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage and process speed
Machine,Settings,energyDensity,3.2,J/cm²,0.1,20,,Fluence threshold for effective Stucco surface cleaning
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for effective contaminant removal with controlled thermal effects
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning without thermal accumulation
Machine,Settings,passCount,2,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning coverage
Machine,Settings,power,200,W,50,500,,"Typical range for industrial cleaning of porous, low-conductivity materials like stucco to avoid thermal damage; starting at 200W for controlled ablation. Max limited to prevent cracking. Based on manufacturer specs from IPG Photonics and Adapt Laser Systems for 1064 nm systems on stone-like surfaces (similar to stucco)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective range for contamination removal on stucco; slower for heavy soiling (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s balances efficiency and safety. From industry standards in laser cleaning of building materials (e.g., EU project reports on historical stone cleaning)."
Machine,Settings,pulse_width,30,ns,0.1,1000,,"Nanosecond regime preferred for stucco to achieve ablation with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) for ultra-sensitive cases but less common industrially due to cost. 30 ns recommended for 1064 nm on plaster-like materials. Supported by laser physics research in Optics & Laser Technology (e.g., studies on pulsed laser ablation of cementitious materials)."
Machine,Settings,repetition_rate,50,kHz,1,200,,"Typical for pulsed cleaning to ensure overlap without excessive heat buildup on low-conductivity stucco; higher rates speed up process but risk accumulation. 50 kHz recommended for optimal balance. From academic literature on 1064 nm cleaning of stone (e.g., Journal of Cultural Heritage papers on facade restoration)."
Machine,Settings,energy_density,1.2,J/cm²,0.1,20,,"Fluence range for safe removal of contaminants from stucco without substrate damage (threshold ~2-3 J/cm² for plaster); lower for light dirt, higher for heavy. 1.2 J/cm² recommended conservatively. Based on ablation threshold studies in Applied Surface Science (e.g., laser cleaning of concrete and stucco analogs)."
Machine,Settings,spot_size,300,μm,0.1,500,,"Beam diameter range for uniform coverage on rough stucco surfaces; smaller for detail work, larger for broad areas. 300 μm recommended for industrial contamination removal. From equipment specifications of systems like Laserax or CleanLASER for architectural applications."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light cleaning, multi-pass for heavy contamination on porous stucco; 2 passes recommended to ensure complete removal without overexposure. Drawn from industry case studies on building restoration (e.g., reports from the International Centre for the Study of the Preservation and Restoration of Cultural Property)."
Machine,Settings,overlap_ratio,60,%,10,90,,"Ensures uniform coverage on irregular stucco textures; 60% recommended for even cleaning without gaps or excessive overlap heat. Typical range from process optimization studies in laser surface treatment (e.g., Industrial Laser Solutions magazine articles on scan strategies for non-metals)."
