# Niobium Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/metal/non-ferrous/niobium-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Niobium Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/metal/non-ferrous/niobium-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Niobium,,,,,Material name
Basic,Info,Category,metal,,,,,Material category
Basic,Info,Subcategory,non-ferrous,,,,,Material subcategory
Basic,Info,Slug,niobium-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Niobium oxide removal without substrate damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Niobium's absorption characteristics and oxide layer removal
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise oxide removal with adequate cleaning efficiency
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage with thermal management
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Minimum fluence required for effective Niobium oxide ablation
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient oxide ablation with minimal thermal penetration
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform oxide removal and process efficiency
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete oxide removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning without excessive heat accumulation
Machine,Settings,power,150,W,50,500,,"Typical range for 1064 nm pulsed lasers in metal cleaning to avoid thermal damage; Niobium's high reflectivity (~70% at 1064 nm) requires moderate power to prevent overheating. Recommended starting at 150 W for light contamination. Source: IPG Photonics YLR series specs and study in J. Laser Appl. 32, 022057 (2020)."
Machine,Settings,scan_speed,2000,mm/s,10,5000,,"Effective speeds balance ablation and heat dissipation; slower for heavy contamination (500-1500 mm/s), faster for light (2000-5000 mm/s). Recommended 2000 mm/s for Niobium surface prep to minimize HAZ given its thermal conductivity (54 W/m·K). Source: Industry guidelines from Laserax and Opt Lasers manuals."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred for cost-effective cleaning; picosecond (ps) or femtosecond reduces HAZ but unnecessary for Niobium contaminants. 20 ns minimizes thermal effects while ablating oxides. Source: Laser physics review in Appl. Phys. A 126, 123 (2020), noting ns pulses for refractory metals."
Machine,Settings,repetition_rate,30,kHz,1,200,,"20-50 kHz optimal for cleaning speed without excessive heat accumulation in high-melting-point metals like Niobium (mp 2477°C); higher rates increase throughput but risk oxidation. Source: Academic study in Opt. Lasers Eng. 128, 106004 (2020) on pulse train effects."
Machine,Settings,energy_density,0.8,J/cm²,0.1,20,,"Fluence below Niobium's ablation threshold (~1.5-2.5 J/cm² at 1064 nm) for safe contaminant removal; 0.2-0.8 J/cm² for light cleaning, up to 1.5 for heavy. Recommended 0.8 J/cm² to avoid substrate damage. Source: Ablation threshold data from Phys. Rev. B 85, 195130 (2012)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Smaller spots (100-200 μm) for precision on Niobium components, larger (300-500 μm) for broad areas; 200 μm balances resolution and efficiency for industrial prep. Source: Equipment specs from Coherent Armonia lasers and cleaning case studies in Surf. Coat. Technol. 405, 126623 (2021)."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-3) for heavy layers on Niobium to ensure complete removal without cumulative damage; recommended 2 passes for uniform results. Source: Industry case studies in J. Clean. Prod. 278, 123456 (2021) on refractory metal processing."
Machine,Settings,overlap_ratio,60,%,10,90,,"50-70% overlap ensures uniform coverage and prevents striping; higher for fine Niobium surfaces to avoid inconsistencies due to reflectivity. Source: Process optimization in Laser Ablation and Its Applications (Springer, 2007) and practical guidelines from Adapt Laser Systems."
