# Serpentine Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/stone/sedimentary/serpentine-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Serpentine Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/stone/sedimentary/serpentine-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Serpentine,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,serpentine-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Serpentine cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Serpentine mineral absorption
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise Serpentine surface cleaning
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Minimum fluence required for effective Serpentine ablation
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient ablation of Serpentine layers
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for efficient Serpentine removal
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete Serpentine removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform Serpentine cleaning
Machine,Settings,power,100,W,50,500,,"Typical range for Nd:YAG laser cleaning of silicates like serpentine to remove contaminants without substrate ablation; starting at 100W for light contamination. Max avoids thermal damage given serpentine's low thermal conductivity (~2 W/m·K). Source: General manufacturer specs (e.g., IPG Photonics systems for stone cleaning) and studies on mineral ablation (e.g., Paljk et al., J. Cult. Herit., 2010)."
Machine,Settings,scan_speed,800,mm/s,10,5000,,"Effective for contaminant removal on serpentine; slower for heavy contamination (200-500 mm/s), faster for light (1000-2000 mm/s). Recommended balances cleaning efficiency and heat input. Source: Industry standards from laser cleaning equipment manuals (e.g., Adapt-Laser systems) and process optimization for stone surfaces."
Machine,Settings,pulse_width,15,ns,0.1,1000,,"Nanosecond regime preferred for cost-effective cleaning of serpentine with minimal heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond reduces HAZ further but less common industrially. Avoids excessive melting (serpentine melting ~1100°C). Source: Laser physics research on silicate ablation (e.g., Anisimov et al., Appl. Surf. Sci., 1999)."
Machine,Settings,repetition_rate,20,kHz,1,200,,"Typical for pulsed cleaning to control heat accumulation on low-conductivity serpentine; higher rates speed up process but risk thermal buildup. Recommended for balanced throughput. Source: Academic literature on pulse train effects in stone cleaning (e.g., Pouli et al., Lasers Archaeol., 2007)."
Machine,Settings,energy_density,1,J/cm²,0.1,20,,"Fluence range for contaminant ablation without exceeding serpentine damage threshold (~3 J/cm² at 1064 nm due to moderate reflectivity ~0.3-0.5). Recommended for safe surface preparation. Conservative estimate for uncertain exact threshold. Source: Ablation threshold studies on minerals (e.g., Lazic et al., Spectrochim. Acta B, 2003)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter for uniform cleaning; smaller for fine details on serpentine surfaces, larger for broad areas. Recommended for industrial contamination removal without pinpoint damage. Source: Equipment specifications from laser cleaning heads (e.g., Laserax or Coherent systems)."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass for heavy; recommended for complete removal on serpentine while minimizing exposure time and potential microcracking. Source: Industry case studies on stone restoration (e.g., European Commission reports on laser cleaning of cultural heritage stones, 2015)."
Machine,Settings,overlap_ratio,60,%,10,90,,"Ensures uniform coverage without excessive overlap-induced heating on serpentine; 50-70% optimal for even contaminant removal. Source: Process optimization studies in laser scanning (e.g., Stournaras et al., J. Manuf. Process., 2015)."
