# Soapstone Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/stone/sedimentary/soapstone-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Soapstone Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/stone/sedimentary/soapstone-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Soapstone,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,soapstone-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Soapstone cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for Soapstone mineral absorption
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for precise cleaning control
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage
Machine,Settings,energyDensity,2.5,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal without substrate damage
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse width for controlled ablation of Soapstone surface contaminants
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning
Machine,Settings,passCount,2,passes,1,10,,Recommended number of cleaning passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning coverage
Machine,Settings,power,100,W,50,300,,"Typical range for industrial cleaning of soft stones like soapstone to avoid thermal damage; starting at 100 W for controlled ablation. Max limited by soapstone's low thermal conductivity (~0.2 W/mK) to prevent cracking. Source: General Nd:YAG laser specs from manufacturers like IPG Photonics and academic reviews on stone conservation (e.g., J. Cult. Herit. 2018)."
Machine,Settings,scan_speed,1000,mm/s,10,5000,,"Slower speeds for effective contaminant removal on delicate soapstone surfaces; range adjusts for light (faster) vs. heavy contamination. Recommended 1000 mm/s balances efficiency and safety. Source: Industry standards from laser cleaning equipment manuals (e.g., Adapt Laser Systems) and process optimization studies."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for 1064 nm cleaning of minerals to minimize heat-affected zone (HAZ); picosecond/femtosecond for ultra-precision but less common industrially. 20 ns recommended for soapstone's low melting point (~1300°C) to reduce thermal diffusion. Source: Laser physics research in Opt. Lasers Eng. (2015) on ablation thresholds.
Machine,Settings,repetition_rate,50,kHz,1,200,,"Mid-range frequencies for efficient cleaning without excessive heat buildup on low-conductivity soapstone; higher rates speed up process but risk accumulation. 50 kHz balances speed and safety. Source: Academic literature on pulsed laser cleaning (e.g., Appl. Surf. Sci. 2019)."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,Fluence below soapstone's ablation threshold (~4-5 J/cm² estimated for talc-based minerals) for safe contaminant removal; conservative range due to variable reflectivity at 1064 nm. Recommended 1.5 J/cm² for effective cleaning without substrate damage. Source: Ablation threshold studies in J. Appl. Phys. (2017) on silicate rocks; uncertainty noted for exact soapstone composition.
